date,crime_type,state
November-2022,ATTACK BY DANGEROUS DOG,Texas
November-2022,BMV,Texas
October-2022,BURGLARY OF BUILDING - FORCED ENTRY,Texas
November-2022,DWI,Texas
January-2022,THEFT OF PROP > OR EQUAL $100 <$750 (NOT SHOPLIFT) PC31.03(e2A),Texas
February-2022,THEFT OF PROP > OR EQUAL $100 <$750 (NOT SHOPLIFT) PC31.03(e2A),Texas
February-2023,BMV,Texas
April-2021,THEFT OF FIREARM,Texas
July-2017,BURGLARY OF HABITATION - FORCED ENTRY,Texas
November-2022,POSS MARIJUANA <2OZ,Texas
November-2022,ASSAULT - PRELIMINARY INVESTIGATION *NON FAMILY VIOLENCE,Texas
February-2023,LOST PROPERTY (NO OFFENSE),Texas
January-2023,RECKLESS DAMAGE,Texas
January-2016,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Texas
February-2023,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Texas
March-2022,"THEFT OF PROP (AUTO ACC) > OR EQUAL $750 <$2,500 (NOT EMP) PC31.03 (e3)",Texas
August-2021,INTERFERE W/ CHILD CUSTODY,Texas
August-2022,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Texas
January-2023,THEFT FROM PERSON,Texas
November-2017,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,Texas
December-2021,THEFT OF PROP > OR EQUAL $100 <$750 (NOT SHOPLIFT) PC31.03(e2A),Texas
October-2022,UNAUTHORIZED USE OF MOTOR VEH - (ATT) AUTOMOBILE,Texas
November-2022,DWI W/OPEN CONTAINER,Texas
January-2023,FOUND PROPERTY (NO OFFENSE),Texas
January-2023,BURGLARY OF BUILDING - FORCED ENTRY,Texas
November-2022,THEFT OF PROP (AUTO ACC) <$100 - (NOT EMP),Texas
February-2023,BMV,Texas
October-2022,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,Texas
October-2022,BURGLARY OF BUILDING - NO FORCED ENTRY,Texas
October-2022,BMV,Texas
December-2022,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Texas
October-2022,THEFT OF PROP > OR EQUAL $100 <$750 (NOT SHOPLIFT) PC31.03(e2A),Texas
November-2022,DWI 1 PREV CONV,Texas
November-2022,BMV,Texas
December-2022,ACCIDENT INV DAMAGE TO VEHICLE <$200,Texas
September-2018,UNAUTHORIZED USE OF MOTOR VEH - (ATT) AUTOMOBILE,Texas
January-2022,"THEFT OF PROP (AUTO ACC) > OR EQUAL $750 <$2,500 (NOT EMP) PC31.03 (e3)",Texas
January-2023,CRIM MISCHIEF > OR EQUAL $100 < $750,Texas
September-2022,BURGLARY OF BUILDING - FORCED ENTRY,Texas
September-2022,VIO BOND/PROTECTIVE ORDER,Texas
February-2023,THEFT BY DECEPTION (FRAUD) >OR EQUAL $750 <$2500,Texas
March-2023,BMV,Texas
September-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Texas
November-2022,LOST PROPERTY (NO OFFENSE),Texas
October-2022,BMV,Texas
November-2021,TRAF VIO -DUTY ON STRIKE FIX/HWY LANDSCAPE > OR EQUAL $200 TC 550.025(b)2,Texas
February-2023,ROBBERY OF BUSINESS (AGG),Texas
November-2022,"THEFT OF PROP (AUTO ACC) > OR EQUAL $2,500 <$30K (NOT EMP) PC31.03(e4A)",Texas
October-2022,BMV,Texas
March-2023,LOST PROPERTY (NO OFFENSE),Texas
November-2022,DISCHARGE FIREARM IN CERTAIN MUNICIPALITIES,Texas
September-2022,BMV,Texas
November-2021,FRAUD USE/POSS IDENTIFYING INFO # ITEMS < 5,Texas
September-2022,"THEFT OF PROP (AUTO ACC) > OR EQUAL $2,500 <$30K (NOT EMP) PC31.03(e4A)",Texas
November-2022,ABANDONED PROPERTY (NO OFFENSE),Texas
December-2022,INJURED PERSON - AT HOME (OTHER THAN FIREARM) (NO OFFENSE),Texas
November-2022,PUBLIC INTOXICATION,Texas
January-2015,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Texas
January-2023,BURGLARY OF HABITATION - FORCED ENTRY,Texas
November-2022,DISORDERLY CONDUCT,Texas
November-2022,CRIMINAL TRESPASS WARNING,Texas
February-2023,TRAF VIO -DUTY ON STRIKE UNATTENDED VEH > OR EQUAL $200,Texas
August-2021,THEFT OF PROP > OR EQUAL $100 <$750 (NOT SHOPLIFT) PC31.03(e2A),Texas
January-2015,"CRIM MISCHIEF > OR EQUAL $500 BUT < $1,500",Texas
January-2023,TRAF VIO -DUTY ON STRIKE UNATTENDED VEH > OR EQUAL $200,Texas
July-2021,DEADLY CONDUCT-PRELIMINARY INVESTIGATION,Texas
February-2023,BMV,Texas
November-2014,THEFT OF PROP > OR EQUAL $50 BUT <$500- NOT SHOPLIFT,Texas
September-2022,THEFT OF PROP > OR EQUAL $100 <$750 (NOT SHOPLIFT) PC31.03(e2A),Texas
November-2022,FOUND PROPERTY (NO OFFENSE),Texas
December-2022,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Texas
February-2019,LOST PROPERTY (NO OFFENSE),Texas
October-2022,BMV,Texas
January-2023,"THEFT OF PROP (AUTO ACC) > OR EQUAL $750 <$2,500 (NOT EMP) PC31.03 (e3)",Texas
October-2022,BURGLARY OF BUILDING - FORCED ENTRY,Texas
February-2023,RECKLESS DAMAGE,Texas
March-2023,FOUND PROPERTY (NO OFFENSE),Texas
June-2016,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,Texas
October-2022,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Texas
May-2020,UNAUTHORIZED USE OF MOTOR VEH - OTHER VEH,Texas
November-2022,CRIMINAL TRESPASS WARNING,Texas
February-2023,THEFT OF PROP (AUTO ACC) <$100 - (NOT EMP),Texas
July-2015,RECKLESS DAMAGE,Texas
October-2022,CRIM MISCHIEF <$100,Texas
December-2021,ASSAULT -VERBAL THREAT,Texas
January-2016,UNAUTHORIZED USE OF MOTOR VEH - OTHER VEH,Texas
December-2022,UNAUTHORIZED USE OF MOTOR VEH - (ATT) TRUCK OR BUS,Texas
November-2022,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Texas
January-2023,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Texas
November-2022,FOUND PROPERTY (NO OFFENSE),Texas
February-2016,THEFT OF PROP (AUTO ACC) <$100 - (NOT EMP),Texas
October-2022,FAIL TO ID -GIVING FALSE/FICTITIOUS INFO PC 38.02(c)(2),Texas
October-2022,BURGLARY OF BUILDING - FORCED ENTRY,Texas
November-2022,"THEFT OF PROP (AUTO ACC) > OR EQUAL $750 <$2,500 (NOT EMP) PC31.03 (e3)",Texas
October-2022,BURGLARY OF BUILDING - FORCED ENTRY,Texas
September-2017,ABANDONED PROPERTY (NO OFFENSE),Texas
November-2015,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Texas
August-2015,BMV,Texas
November-2022,THEFT OF PROP <$100 - OTHER THAN SHOPLIFT,Texas
July-2022,BMV,Texas
January-2023,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,Texas
November-2022,PUBLIC INTOXICATION,Texas
October-2022,UNAUTHORIZED USE OF MOTOR VEH - (ATT) AUTOMOBILE,Texas
June-2017,UNAUTHORIZED USE OF MOTOR VEH - (ATT) AUTOMOBILE,Texas
December-2022,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Texas
February-2015,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Texas
February-2023,BMV,Texas
February-2023,BURGLARY OF BUILDING - FORCED ENTRY,Texas
October-2022,CREDIT CARD OR DEBIT CARD ABUSE,Texas
February-2023,ABANDONED PROPERTY (NO OFFENSE),Texas
December-2022,"CRIM MISCHIEF >OR EQUAL $750 < $2,500",Texas
December-2022,ASSAULT -VERBAL THREAT,Texas
November-2022,CRIMINAL TRESPASS,Texas
July-2022,ASSAULT -BODILY INJURY ONLY,Texas
March-2023,BMV,Texas
September-2021,THEFT OF PROP <$100 - OTHER THAN SHOPLIFT,Texas
March-2014,FRAUD USE/POSS IDENTIFYING INFO # ITEMS < 5,Texas
December-2022,BMV,Texas
February-2022,"THEFT OF PROP (AUTO ACC) > OR EQUAL $2,500 <$30K (NOT EMP) PC31.03(e4A)",Texas
November-2022,FOUND PROPERTY (NO OFFENSE),Texas
November-2014,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Texas
November-2022,CRIMINAL TRESPASS WARNING,Texas
December-2022,BMV,Texas
October-2022,BURGLARY OF BUILDING - FORCED ENTRY,Texas
February-2023,CRIMINAL TRESPASS WARNING,Texas
November-2022,BMV,Texas
January-2017,ABANDONED PROPERTY (NO OFFENSE),Texas
August-2022,THEFT FROM PERSON-PURSE SNATC,Texas
December-2016,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Texas
December-2022,UNAUTHORIZED USE OF MOTOR VEH - (ATT) AUTOMOBILE,Texas
October-2022,POSS CONT SUB PEN GRP 1 <1G,Texas
February-2023,"THEFT OF PROP (AUTO ACC) > OR EQUAL $750 <$2,500 (NOT EMP) PC31.03 (e3)",Texas
February-2022,"THEFT OF PROP (AUTO ACC) > OR EQUAL $2,500 <$30K (NOT EMP) PC31.03(e4A)",Texas
December-2022,CRIMINAL TRESPASS WARNING,Texas
November-2022,FAIL TO ID -GIVING FALSE/FICTITIOUS INFO PC 38.02(c)(2),Texas
October-2022,BURGLARY OF BUILDING - FORCED ENTRY,Texas
November-2022,THEFT OF PROP <$100 -SHOPLIFTING - (NOT BY EMPLOYEE),Texas
January-2023,THEFT FROM BUILDING> OR EQUAL $100<$750 (NOT SHOPLIFT),Texas
March-2023,CRIMINAL TRESPASS WARNING,Texas
December-2022,BMV,Texas
February-2023,CRIM MISCHIEF > OR EQUAL $100 < $750,Texas
October-2022,THEFT OF PROP (AUTO ACC) <$100 - (NOT EMP),Texas
October-2022,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Texas
October-2022,THEFT FROM BUILDING> OR EQUAL $2500<$30K (NOT SHOPLIFT),Texas
October-2021,THEFT OF PROP > OR EQUAL $100 <$750 (NOT SHOPLIFT) PC31.03(e2A),Texas
October-2022,UNAUTHORIZED USE OF MOTOR VEH - (ATT) AUTOMOBILE,Texas
October-2022,THEFT OF PROP <$100 - OTHER THAN SHOPLIFT,Texas
November-2022,ASSAULT - PRELIMINARY INVESTIGATION *NON FAMILY VIOLENCE,Texas
January-2023,BURGLARY OF BUILDING - FORCED ENTRY,Texas
December-2022,"THEFT OF PROP > OR EQUAL $750 <$2,500 (NOT SHOPLIFT) PC31.03(e3)",Texas
September-2021,ASSAULT -BODILY INJURY ONLY,Texas
November-2022,UNLAWFUL CARRYING WEAPON,Texas
October-2022,THEFT OF PROP > OR EQUAL $100 <$750 (NOT SHOPLIFT) PC31.03(e2A),Texas
February-2022,CRIMINAL TRESPASS,Texas
November-2022,RECKLESS DAMAGE,Texas
March-2023,POSS MARIJUANA <2OZ,Texas
October-2022,FRAUD USE/POSS IDENTIFYING INFO # ITEMS < 5,Texas
November-2022,ROBBERY OF BUSINESS,Texas
December-2022,"CRIM MISCHIEF > OR EQUAL $2,500 < $30K",Texas
October-2022,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Texas
November-2022,CRIMINAL TRESPASS WARNING,Texas
October-2022,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Texas
January-2023,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Texas
November-2022,THEFT OF PROP > OR EQUAL $100 <$750 (NOT SHOPLIFT) PC31.03(e2A),Texas
January-2023,THEFT OF PROP > OR EQUAL $100 <$750 (NOT SHOPLIFT) PC31.03(e2A),Texas
November-2022,POSS MARIJUANA <2OZ,Texas
October-2022,"CRIM MISCHIEF >OR EQUAL $750 < $2,500",Texas
November-2022,RECOVERED OUT OF TOWN STOLEN VEHICLE (NO OFFENSE),Texas
November-2022,THEFT OF PROP (AUTO ACC) <$100 - (NOT EMP),Texas
January-2023,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Texas
December-2022,"THEFT OF PROP > OR EQUAL $750 <$2,500 (NOT SHOPLIFT) PC31.03(e3)",Texas
January-2023,ASSAULT -BODILY INJURY ONLY,Texas
February-2023,RECKLESS DAMAGE,Texas
November-2022,POSS MARIJUANA <2OZ,Texas
October-2022,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,Texas
February-2023,ROBBERY OF BUSINESS (AGG),Texas
January-2023,TRAFFIC VIOLATION - NON HAZARDOUS,Texas
October-2022,THEFT OF PROP (AUTO ACC) > OR EQUAL $100 <$750 (NOT EMP)PC31.03(e2A),Texas
December-2022,BURGLARY OF HABITATION -NO FORCED ENTRY,Texas
January-2023,CRIMINAL TRESPASS WARNING,Texas
January-2023,CRIM MISCHIEF > OR EQUAL $100 < $750,Texas
November-2022,ILLEGAL DUMPING LT LIT/WASTE <500LBS OR <100 CFT HSC 365.012(d-1),Texas
April-2023,ASSAULT -VERBAL THREAT,Texas
August-2022,THEFT OF PROP (AUTO ACC) <$100 - (NOT EMP),Texas
September-2020,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,Texas
October-2022,FOUND PROPERTY (NO OFFENSE),Texas
December-2022,CRIMINAL TRESPASS WARNING,Texas
October-2022,CRIM MISCHIEF > OR EQUAL $300K,Texas
September-2022,BMV,Texas
June-2016,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,Texas
November-2020,BURGLARY OF HABITATION - FORCED ENTRY,Texas
February-2023,BMV,Texas
January-2016,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Texas
September-2021,CRIMINAL TRESPASS,Texas
November-2022,BMV,Texas
October-2022,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Texas
December-2016,THEFT OF PROP > OR EQUAL $100 BUT <$750- NOT SHOPLIFT,Texas
February-2023,LOST PROPERTY (NO OFFENSE),Texas
October-2022,ASSAULT -BODILY INJURY ONLY,Texas
November-2022,CRIMINAL TRESPASS WARNING,Texas
February-2023,ASSAULT -VERBAL THREAT,Texas
November-2017,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Texas
November-2022,ASSAULT - PRELIMINARY INVESTIGATION *NON FAMILY VIOLENCE,Texas
April-2015,THREATENING PHONE CALLS,Texas
November-2022,THEFT OF PROP (AUTO ACC) <$100 - (NOT EMP),Texas
February-2023,CRIMINAL TRESPASS WARNING,Texas
October-2021,CRIMINAL TRESPASS WARNING,Texas
March-2022,FRAUD USE/POSS IDENTIFYING INFO # ITEMS < 5,Texas
August-2022,THEFT OF PROP > OR EQUAL $100 <$750 (NOT SHOPLIFT) PC31.03(e2A),Texas
September-2021,RECOVERED OUT OF TOWN STOLEN VEHICLE (NO OFFENSE),Texas
August-2014,FOUND PROPERTY (NO OFFENSE),Texas
March-2016,BURGLARY OF BUILDING - FORCED ENTRY,Texas
November-2022,CRIMINAL TRESPASS WARNING,Texas
November-2022,POSS CONT SUB PEN GRP 1 <1G,Texas
December-2022,BMV,Texas
November-2022,DWI,Texas
October-2022,CRIMINAL TRESPASS AFFIDAVIT,Texas
January-2023,ROBBERY OF INDIVIDUAL (AGG),Texas
November-2022,CRIM MISCHIEF > OR EQUAL $100 < $750,Texas
August-2014,ABANDONED PROPERTY (NO OFFENSE),Texas
January-2023,BURGLARY OF HABITATION -NO FORCED ENTRY,Texas
January-2019,BURGLARY OF BUILDING - FORCED ENTRY,Texas
November-2022,FOUND PROPERTY (NO OFFENSE),Texas
March-2023,POSS MARIJUANA <2OZ,Texas
February-2023,TRAF VIO -DUTY ON STRIKE UNATTENDED VEH > OR EQUAL $200,Texas
November-2022,CRIMINAL TRESPASS WARNING,Texas
September-2022,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Texas
February-2023,CRIMINAL TRESPASS,Texas
February-2023,BURGLARY OF HABITATION - FORCED ENTRY,Texas
August-2022,MAN DEL CONT SUB PEN GRP 1 > OR EQUAL 4G<200G,Texas
December-2022,CRIMINAL TRESPASS,Texas
November-2022,CRIMINAL TRESPASS WARNING,Texas
January-2022,"THEFT OF PROP (AUTO ACC) > OR EQUAL $750 <$2,500 (NOT EMP) PC31.03 (e3)",Texas
May-2017,CRIM MISCHIEF <$100,Texas
March-2019,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Texas
November-2022,CRIMINAL TRESPASS WARNING,Texas
May-2015,CRIM MISCHIEF < $50,Texas
February-2023,CRIMINAL TRESPASS,Texas
September-2022,"CRIM MISCHIEF >OR EQUAL $750 < $2,500",Texas
November-2022,MAN DEL CONT SUB PEN GRP 1 > OR EQUAL 1G<4G,Texas
November-2022,CRIMINAL TRESPASS AFFIDAVIT,Texas
October-2022,BURGLARY OF HABITATION - FORCED ENTRY,Texas
November-2022,RECOVERED OUT OF TOWN STOLEN VEHICLE (NO OFFENSE),Texas
February-2023,LOST PROPERTY (NO OFFENSE),Texas
December-2022,"CRIM MISCHIEF >OR EQUAL $750 < $2,500",Texas
October-2021,CRIMINAL TRESPASS,Texas
January-2023,BMV,Texas
December-2022,LOST PROPERTY (NO OFFENSE),Texas
December-2021,BURGLARY OF HABITATION -NO FORCED ENTRY,Texas
November-2022,FRAUD USE/POSS IDENTIFYING INFO-PRELIMINARY INVESTIGATION,Texas
January-2022,EVADING ARREST DETENTION,Texas
July-2022,ROBBERY OF BUSINESS (AGG),Texas
February-2022,BURGLARY OF BUILDING - FORCED ENTRY,Texas
October-2021,OPEN BUILDING (NO OFFENSE),Texas
November-2022,BMV,Texas
September-2021,THEFT OF PROP > OR EQUAL $100 <$750 (NOT SHOPLIFT) PC31.03(e2A),Texas
November-2022,INJURED PERSON- PUBLIC PROPERTY (OTHER THAN FIREARM) (NO OFFENSE),Texas
October-2022,ASSAULT -BODILY INJURY ONLY,Texas
November-2022,RECKLESS DAMAGE,Texas
November-2022,PUBLIC INTOXICATION,Texas
January-2017,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Texas
October-2022,BMV,Texas
August-2021,THEFT OF PROP > OR EQUAL $100 <$750 (NOT SHOPLIFT) PC31.03(e2A),Texas
January-2022,FOUND PROPERTY (NO OFFENSE),Texas
December-2022,THEFT OF PROP > OR EQUAL $100 <$750 (NOT SHOPLIFT) PC31.03(e2A),Texas
February-2023,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Texas
October-2022,FORGERY FINANCIAL INSTRUMENT > OR EQUAL $750<$2500 IAT,Texas
November-2022,BMV,Texas
October-2022,THEFT FROM BUILDING> OR EQUAL $750<$2500 (NOT SHOPLIFT),Texas
January-2023,TRAF VIO -DUTY ON STRIKE UNATTENDED VEH > OR EQUAL $200,Texas
November-2022,PUBLIC INTOXICATION,Texas
February-2022,POSS MARIJUANA <2OZ,Texas
September-2022,BURGLARY OF BUILDING - FORCED ENTRY,Texas
October-2021,THEFT OF PROP > OR EQUAL $100 <$750 (NOT SHOPLIFT) PC31.03(e2A),Texas
March-2023,TRAF VIO -OPERATE MOTOR VEH W/O FIN RESP,Texas
March-2023,THEFT - PRELIMINARY INVESTIGATION,Texas
December-2022,BMV,Texas
November-2022,FOUND PROPERTY (NO OFFENSE),Texas
January-2023,LOST PROPERTY (NO OFFENSE),Texas
December-2016,UNAUTHORIZED USE OF MOTOR VEH - OTHER VEH,Texas
November-2022,THEFT OF PROP <$100 -SHOPLIFTING - (NOT BY EMPLOYEE),Texas
November-2022,FOUND PROPERTY (NO OFFENSE),Texas
December-2022,THEFT OF PROP (AUTO ACC) <$100 - (NOT EMP),Texas
January-2019,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Texas
November-2022,THEFT FROM BUILDING> OR EQUAL $100<$750 (NOT SHOPLIFT),Texas
November-2022,ASSAULT -PREGNANT PERSON,Texas
January-2023,DWI W/OPEN CONTAINER,Texas
January-2023,THEFT OF PROP > OR EQUAL $100 <$750 (NOT SHOPLIFT) PC31.03(e2A),Texas
February-2023,THEFT - PRELIMINARY INVESTIGATION,Texas
September-2022,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Texas
March-2023,TRAFFIC VIOLATION - NON HAZARDOUS,Texas
December-2022,ASSAULT (AGG) -DISCH FIREARM  OCC BLDG/HOUSE/VEH (AGG),Texas
January-2023,UNAUTHORIZED USE OF MOTOR VEH - PRELIMINARY INVEST,Texas
October-2022,"THEFT OF PROP <$2,500 2+PREV CONV (NOT SHOPLIFT) PC31.03 (e4D)",Texas
November-2022,DWI,Texas
January-2023,UNLAWFUL CARRYING WEAPON,Texas
October-2022,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Texas
December-2021,POSSESSION OF DRUG PARAPHERNALIA,Texas
November-2022,"THEFT OF PROP (AUTO ACC) > OR EQUAL $750 <$2,500 (NOT EMP) PC31.03 (e3)",Texas
November-2022,FOUND PROPERTY (NO OFFENSE),Texas
February-2023,TRAF VIO -DUTY ON STRIKE UNATTENDED VEH > OR EQUAL $200,Texas
September-2022,"THEFT OF PROP (AUTO ACC) > OR EQUAL $2,500 <$30K (NOT EMP) PC31.03(e4A)",Texas
December-2022,FOUND PROPERTY (NO OFFENSE),Texas
December-2021,THEFT OF PROP > OR EQUAL $100 <$750 (NOT SHOPLIFT) PC31.03(e2A),Texas
February-2017,BMV,Texas
October-2022,CRIM MISCHIEF > OR EQUAL $100 < $750,Texas
November-2022,ROBBERY OF INDIVIDUAL,Texas
February-2023,CRIM MISCHIEF > OR EQUAL $100 < $750,Texas
November-2022,PUBLIC INTOXICATION,Texas
February-2023,BMV,Texas
January-2023,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Texas
August-2016,BURGLARY OF BUILDING - FORCED ENTRY,Texas
September-2022,BMV,Texas
January-2023,CRIM MISCHIEF > OR EQUAL $100 < $750,Texas
August-2021,THEFT OF PROP > OR EQUAL $100 <$750 (NOT SHOPLIFT) PC31.03(e2A),Texas
September-2022,"THEFT OF PROP (AUTO ACC) > OR EQUAL $750 <$2,500 (NOT EMP) PC31.03 (e3)",Texas
November-2022,INJURED PERSON- PUBLIC PROPERTY (OTHER THAN FIREARM) (NO OFFENSE),Texas
December-2022,BURGLARY OF BUILDING - FORCED ENTRY,Texas
November-2022,PUBLIC INTOXICATION,Texas
November-2022,CRIMINAL TRESPASS WARNING,Texas
December-2022,THEFT OF PROP (AUTO ACC) <$100 - (NOT EMP),Texas
July-2020,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Texas
October-2022,UNAUTHORIZED USE OF MOTOR VEH - (ATT) AUTOMOBILE,Texas
November-2022,BMV,Texas
September-2022,POSS MARIJUANA >4OZ< OR EQUAL 5LBS,Texas
May-2016,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Texas
January-2023,FOUND PROPERTY (NO OFFENSE),Texas
November-2022,BMV,Texas
March-2023,BMV,Texas
November-2022,OTHER OFFENSE - MISDEMEANOR,Texas
November-2017,ROBBERY OF INDIVIDUAL (AGG),Texas
October-2022,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,Texas
November-2022,LOST PROPERTY (NO OFFENSE),Texas
November-2022,EVADING ARREST DETENTION W/VEHICLE PC38.04(b)(2)(A),Texas
August-2022,OTHER OFFENSE - FELONY,Texas
August-2020,UNAUTHORIZED USE OF MOTOR VEH - (ATT) AUTOMOBILE,Texas
November-2022,POSS CONT SUB PEN GRP 1 <1G,Texas
June-2015,FALSE ALARM OR REPORT,Texas
January-2023,CRIM MISCHIEF <$100,Texas
June-2022,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Texas
May-2022,THEFT FROM PERSON-PICKPOCKE,Texas
October-2022,BURGLARY OF HABITATION -NO FORCED ENTRY,Texas
April-2022,HARASSMENT,Texas
June-2022,NATURAL DEATH (NO OFFENSE),Texas
December-2022,FOUND PROPERTY (NO OFFENSE),Texas
November-2022,ACCIDENT INV DAMAGE TO VEHICLE <$200,Texas
December-2022,BURGLARY OF BUILDING - FORCED ENTRY,Texas
November-2022,ABANDONED PROPERTY (NO OFFENSE),Texas
December-2022,BMV,Texas
January-2023,BMV,Texas
December-2022,BURGLARY OF BUILDING - FORCED ENTRY,Texas
February-2018,UNAUTHORIZED USE OF MOTOR VEH - (ATT) AUTOMOBILE,Texas
February-2023,"CRIM MISCHIEF >OR EQUAL $750 < $2,500",Texas
November-2014,CRIM MISCHIEF > OR EQUAL $50 BUT < $500,Texas
September-2022,BMV,Texas
November-2022,CRIMINAL TRESPASS WARNING,Texas
October-2017,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Texas
December-2022,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Texas
February-2023,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,Texas
December-2022,HARASSMENT,Texas
November-2022,LOST PROPERTY (NO OFFENSE),Texas
June-2022,OTHER FELONY OFFENSE - FRAUD,Texas
November-2022,CRIMINAL TRESPASS WARNING,Texas
November-2022,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,Texas
November-2022,BMV,Texas
October-2022,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Texas
December-2022,ASSAULT (AGG) -DEADLY WEAPON,Texas
January-2019,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Texas
October-2022,DWI,Texas
August-2016,"CRIM MISCHIEF >OR EQUAL $750 BUT <$2,500",Texas
October-2022,BMV,Texas
December-2022,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Texas
November-2022,"CRIM MISCHIEF >OR EQUAL $750 < $2,500",Texas
January-2020,ROBBERY OF BUSINESS (AGG),Texas
August-2022,HARASSMENT,Texas
January-2023,INJURED PERSON- PUBLIC PROPERTY (OTHER THAN FIREARM) (NO OFFENSE),Texas
February-2023,CRIMINAL TRESPASS WARNING,Texas
October-2022,CRIM MISCHIEF <$100,Texas
January-2023,CRIM MISCHIEF > OR EQUAL $100 < $750,Texas
October-2022,BURGLARY OF BUILDING - FORCED ENTRY,Texas
January-2023,FRAUD USE/POSS IDENTIFYING INFO # ITEMS 5<10,Texas
November-2022,RECOVERED OUT OF TOWN STOLEN VEHICLE (NO OFFENSE),Texas
December-2022,ASSAULT -BODILY INJURY ONLY,Texas
November-2022,BMV,Texas
May-2018,BURGLARY OF BUILDING - FORCED ENTRY,Texas
December-2021,THEFT FROM BUILDING> OR EQUAL $100<$750 (NOT SHOPLIFT),Texas
November-2022,FOUND PROPERTY (NO OFFENSE),Texas
January-2022,"THEFT OF PROP (AUTO ACC) > OR EQUAL $2,500 <$30K (NOT EMP) PC31.03(e4A)",Texas
September-2022,BMV,Texas
November-2022,BMV,Texas
June-2022,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Texas
October-2022,BMV,Texas
November-2022,UNLAWFUL CARRYING WEAPON,Texas
January-2023,UNLAWFUL CARRYING WEAPON,Texas
October-2022,BURGLARY - PRELIMINARY INVESTIGATION,Texas
October-2022,THEFT OF SERVICE < $100,Texas
November-2022,ACCIDENT INV DAMAGE TO VEHICLE <$200,Texas
October-2022,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Texas
November-2022,POSS CONT SUB PEN GRP 1 > OR EQUAL 1G<4G,Texas
October-2022,"THEFT OF PROP > OR EQUAL $750 <$2,500 (NOT SHOPLIFT) PC31.03(e3)",Texas
October-2022,HARASSMENT-REPEATED ELECTRONIC COMMUNICATION,Texas
January-2022,"THEFT OF PROP (AUTO ACC) > OR EQUAL $750 <$2,500 (NOT EMP) PC31.03 (e3)",Texas
September-2020,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Texas
