date,crime_type,state
04-2010,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",California
04-2010,CRIMINAL THREATS - NO WEAPON DISPLAYED,California
04-2010,OTHER MISCELLANEOUS CRIME,California
04-2010,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",California
04-2010,BURGLARY FROM VEHICLE,California
04-2010,THEFT PLAIN - PETTY ($950 & UNDER),California
04-2010,KIDNAPPING - GRAND ATTEMPT,California
04-2010,CRIMINAL HOMICIDE,California
04-2010,THEFT PLAIN - ATTEMPT,California
04-2010,ATTEMPTED ROBBERY,California
04-2010,ATTEMPTED ROBBERY,California
04-2010,ROBBERY,California
04-2010,INTIMATE PARTNER - AGGRAVATED ASSAULT,California
04-2010,VANDALISM - MISDEAMEANOR ($399 OR UNDER),California
04-2010,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California
04-2010,CRIMINAL THREATS - NO WEAPON DISPLAYED,California
04-2010,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California
04-2010,VANDALISM - MISDEAMEANOR ($399 OR UNDER),California
04-2010,CRIMINAL THREATS - NO WEAPON DISPLAYED,California
04-2010,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California
04-2010,INTIMATE PARTNER - SIMPLE ASSAULT,California
04-2010,INTIMATE PARTNER - SIMPLE ASSAULT,California
04-2010,INTIMATE PARTNER - SIMPLE ASSAULT,California
04-2010,INTIMATE PARTNER - SIMPLE ASSAULT,California
04-2010,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California
04-2010,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California
04-2010,INTIMATE PARTNER - SIMPLE ASSAULT,California
04-2010,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California
04-2010,"THEFT, PERSON",California
04-2010,SHOPLIFTING - PETTY THEFT ($950 & UNDER),California
04-2010,INTIMATE PARTNER - SIMPLE ASSAULT,California
04-2010,INTIMATE PARTNER - SIMPLE ASSAULT,California
10-2010,OTHER MISCELLANEOUS CRIME,California
04-2010,VANDALISM - MISDEAMEANOR ($399 OR UNDER),California
04-2010,INTIMATE PARTNER - SIMPLE ASSAULT,California
04-2010,VANDALISM - MISDEAMEANOR ($399 OR UNDER),California
04-2010,VANDALISM - MISDEAMEANOR ($399 OR UNDER),California
05-2010,BATTERY - SIMPLE ASSAULT,California
05-2010,INTIMATE PARTNER - SIMPLE ASSAULT,California
05-2010,TRESPASSING,California
05-2010,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California
05-2010,BOMB SCARE,California
05-2010,BATTERY - SIMPLE ASSAULT,California
05-2010,BURGLARY,California
05-2010,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",California
05-2010,BATTERY - SIMPLE ASSAULT,California
05-2010,ROBBERY,California
05-2010,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California
05-2010,OTHER MISCELLANEOUS CRIME,California
05-2010,ROBBERY,California
05-2010,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",California
05-2010,KIDNAPPING,California
05-2010,OTHER MISCELLANEOUS CRIME,California
05-2010,BRANDISH WEAPON,California
05-2010,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",California
05-2010,BURGLARY,California
05-2010,VEHICLE - ATTEMPT STOLEN,California
05-2010,BURGLARY FROM VEHICLE,California
05-2010,ROBBERY,California
05-2010,BATTERY - SIMPLE ASSAULT,California
05-2010,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California
05-2010,THEFT PLAIN - PETTY ($950 & UNDER),California
06-2010,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California
05-2010,BATTERY - SIMPLE ASSAULT,California
05-2010,BATTERY - SIMPLE ASSAULT,California
05-2010,INTIMATE PARTNER - SIMPLE ASSAULT,California
05-2010,BATTERY WITH SEXUAL CONTACT,California
05-2010,THEFT PLAIN - PETTY ($950 & UNDER),California
05-2010,DOCUMENT FORGERY / STOLEN FELONY,California
05-2010,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",California
05-2010,OTHER MISCELLANEOUS CRIME,California
05-2010,OTHER MISCELLANEOUS CRIME,California
05-2010,OTHER MISCELLANEOUS CRIME,California
05-2010,INTIMATE PARTNER - SIMPLE ASSAULT,California
05-2010,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",California
05-2010,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California
05-2010,BATTERY - SIMPLE ASSAULT,California
05-2010,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California
05-2010,CRIMINAL THREATS - NO WEAPON DISPLAYED,California
05-2010,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California
05-2010,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",California
05-2010,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California
05-2010,BATTERY - SIMPLE ASSAULT,California
05-2010,BATTERY - SIMPLE ASSAULT,California
05-2010,BATTERY - SIMPLE ASSAULT,California
05-2010,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California
05-2010,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California
05-2010,ROBBERY,California
05-2010,ROBBERY,California
06-2010,ROBBERY,California
05-2010,BURGLARY FROM VEHICLE,California
06-2010,ATTEMPTED ROBBERY,California
06-2010,BATTERY - SIMPLE ASSAULT,California
06-2010,INTIMATE PARTNER - SIMPLE ASSAULT,California
06-2010,BATTERY - SIMPLE ASSAULT,California
06-2010,INTIMATE PARTNER - SIMPLE ASSAULT,California
05-2010,BURGLARY,California
05-2010,BURGLARY,California
06-2010,ROBBERY,California
06-2010,BATTERY - SIMPLE ASSAULT,California
06-2010,BATTERY - SIMPLE ASSAULT,California
06-2010,THEFT PLAIN - PETTY ($950 & UNDER),California
06-2010,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California
06-2010,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California
06-2010,BATTERY - SIMPLE ASSAULT,California
06-2010,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California
06-2010,ROBBERY,California
06-2010,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California
06-2010,BATTERY POLICE (SIMPLE),California
06-2010,INTIMATE PARTNER - SIMPLE ASSAULT,California
06-2010,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California
06-2010,BURGLARY,California
06-2010,BATTERY - SIMPLE ASSAULT,California
06-2010,CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT,California
06-2010,CHILD NEGLECT (SEE 300 W.I.C.),California
06-2010,BURGLARY FROM VEHICLE,California
07-2010,BATTERY - SIMPLE ASSAULT,California
06-2010,BATTERY - SIMPLE ASSAULT,California
06-2010,INTIMATE PARTNER - SIMPLE ASSAULT,California
06-2010,CRIMINAL THREATS - NO WEAPON DISPLAYED,California
06-2010,VANDALISM - MISDEAMEANOR ($399 OR UNDER),California
06-2010,"THEFT, PERSON",California
06-2010,THROWING OBJECT AT MOVING VEHICLE,California
06-2010,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",California
06-2010,DISTURBING THE PEACE,California
06-2010,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",California
06-2010,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",California
06-2010,VANDALISM - MISDEAMEANOR ($399 OR UNDER),California
06-2010,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California
06-2010,INTIMATE PARTNER - SIMPLE ASSAULT,California
06-2010,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",California
06-2010,VANDALISM - MISDEAMEANOR ($399 OR UNDER),California
06-2010,BATTERY - SIMPLE ASSAULT,California
06-2010,ROBBERY,California
06-2010,ROBBERY,California
06-2010,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California
06-2010,OTHER ASSAULT,California
06-2010,INTIMATE PARTNER - SIMPLE ASSAULT,California
06-2010,"RAPE, FORCIBLE",California
06-2010,INTIMATE PARTNER - SIMPLE ASSAULT,California
06-2010,OTHER MISCELLANEOUS CRIME,California
06-2010,TRESPASSING,California
06-2010,ROBBERY,California
06-2010,BATTERY - SIMPLE ASSAULT,California
06-2010,BATTERY - SIMPLE ASSAULT,California
06-2010,BURGLARY,California
06-2010,THEFT PLAIN - PETTY ($950 & UNDER),California
06-2010,INTIMATE PARTNER - SIMPLE ASSAULT,California
07-2010,ROBBERY,California
07-2010,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California
07-2010,OTHER MISCELLANEOUS CRIME,California
07-2010,INTIMATE PARTNER - SIMPLE ASSAULT,California
07-2010,VIOLATION OF RESTRAINING ORDER,California
07-2010,BATTERY - SIMPLE ASSAULT,California
07-2010,ROBBERY,California
07-2010,BURGLARY FROM VEHICLE,California
07-2010,ROBBERY,California
07-2010,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California
07-2010,ATTEMPTED ROBBERY,California
07-2010,INTIMATE PARTNER - SIMPLE ASSAULT,California
07-2010,LEWD CONDUCT,California
07-2010,BATTERY - SIMPLE ASSAULT,California
07-2010,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California
07-2010,CRIMINAL THREATS - NO WEAPON DISPLAYED,California
07-2010,BATTERY - SIMPLE ASSAULT,California
07-2010,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",California
07-2010,BATTERY POLICE (SIMPLE),California
07-2010,ROBBERY,California
07-2010,SHOPLIFTING - PETTY THEFT ($950 & UNDER),California
07-2010,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California
07-2010,OTHER MISCELLANEOUS CRIME,California
07-2010,BATTERY - SIMPLE ASSAULT,California
07-2010,BATTERY - SIMPLE ASSAULT,California
07-2010,ROBBERY,California
07-2010,ATTEMPTED ROBBERY,California
07-2010,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California
07-2010,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California
07-2010,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California
07-2010,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",California
07-2010,BATTERY - SIMPLE ASSAULT,California
07-2010,ROBBERY,California
07-2010,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California
07-2010,ROBBERY,California
07-2010,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",California
07-2010,ROBBERY,California
07-2010,ROBBERY,California
07-2010,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",California
07-2010,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California
07-2010,ROBBERY,California
07-2010,SHOPLIFTING - PETTY THEFT ($950 & UNDER),California
07-2010,BATTERY - SIMPLE ASSAULT,California
07-2010,DOCUMENT FORGERY / STOLEN FELONY,California
07-2010,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),California
07-2010,"RAPE, FORCIBLE",California
07-2010,"RAPE, FORCIBLE",California
07-2010,BATTERY - SIMPLE ASSAULT,California
07-2010,ROBBERY,California
08-2010,VANDALISM - MISDEAMEANOR ($399 OR UNDER),California
08-2010,BATTERY - SIMPLE ASSAULT,California
08-2010,BATTERY - SIMPLE ASSAULT,California
08-2010,THEFT PLAIN - PETTY ($950 & UNDER),California
07-2010,SHOTS FIRED AT INHABITED DWELLING,California
07-2010,THEFT PLAIN - PETTY ($950 & UNDER),California
08-2010,BATTERY POLICE (SIMPLE),California
08-2010,VANDALISM - MISDEAMEANOR ($399 OR UNDER),California
08-2010,ROBBERY,California
07-2010,THEFT OF IDENTITY,California
08-2010,BURGLARY,California
08-2010,BURGLARY,California
08-2010,ATTEMPTED ROBBERY,California
08-2010,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",California
08-2010,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,California
08-2010,THEFT PLAIN - PETTY ($950 & UNDER),California
08-2010,BURGLARY FROM VEHICLE,California
08-2010,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California
08-2010,THEFT PLAIN - PETTY ($950 & UNDER),California
08-2010,INTIMATE PARTNER - SIMPLE ASSAULT,California
08-2010,INTIMATE PARTNER - SIMPLE ASSAULT,California
08-2010,INTIMATE PARTNER - SIMPLE ASSAULT,California
08-2010,VANDALISM - MISDEAMEANOR ($399 OR UNDER),California
08-2010,INTIMATE PARTNER - SIMPLE ASSAULT,California
08-2010,BRANDISH WEAPON,California
08-2010,ROBBERY,California
08-2010,BATTERY - SIMPLE ASSAULT,California
08-2010,BATTERY - SIMPLE ASSAULT,California
08-2010,SHOPLIFTING - PETTY THEFT ($950 & UNDER),California
08-2010,BATTERY - SIMPLE ASSAULT,California
08-2010,ROBBERY,California
08-2010,BATTERY - SIMPLE ASSAULT,California
08-2010,TRESPASSING,California
08-2010,VANDALISM - MISDEAMEANOR ($399 OR UNDER),California
08-2010,OTHER MISCELLANEOUS CRIME,California
08-2010,BATTERY - SIMPLE ASSAULT,California
08-2010,ROBBERY,California
08-2010,BURGLARY,California
09-2010,ROBBERY,California
09-2010,ROBBERY,California
09-2010,BATTERY POLICE (SIMPLE),California
09-2010,BATTERY POLICE (SIMPLE),California
09-2010,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California
09-2010,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California
09-2010,ROBBERY,California
