tweet_id,created_at,full_text,user_name,user_screen_name,retweet_count,favorite_count,location,Category
91128153363324928,Wed Jul 13 12:53:39 +0000 2011,Rockland A.M. report: Shoplifting arrest; drug charges in Tomkins Cove; more - http://bit.ly/peVwor #SpringValley #NewYork,New York News,topix_ny,0,0,New York,shoplifting_arrest
83619982864433153,Wed Jun 22 19:38:52 +0000 2011,Woman accused of endangering child while trying to avoid Hallandale shoplifting arrest - http://bit.ly/lY5uw7 #Hollywood #Florida,Florida News,topix_fl,0,0,Flordia,shoplifting_arrest
82911300258250753,Mon Jun 20 20:42:49 +0000 2011,The Clark Blotter: A Shoplifting Arrest at Barnes & Noble http://bit.ly/iUNKdR via http://outside.in/07090,07090,07090,0,0,07090,shoplifting_arrest
82911292968542208,Mon Jun 20 20:42:47 +0000 2011,The Clark Blotter: A Shoplifting Arrest at Barnes & Noble http://bit.ly/lYVj0o via http://outside.in/07066,07066,07066,0,0,07066,shoplifting_arrest
82911286572236801,Mon Jun 20 20:42:45 +0000 2011,The Clark Blotter: A Shoplifting Arrest at Barnes & Noble http://bit.ly/mAEfFL via http://outside.in/07036,07036,07036,0,0,07036,shoplifting_arrest
81582402950021120,Fri Jun 17 04:42:15 +0000 2011,Police Log: Shoplifting Arrest and People Celebrating http://bit.ly/jed63W via http://outside.in/01545,01545,01545,0,0,01545,shoplifting_arrest
81544804802113536,Fri Jun 17 02:12:51 +0000 2011,Police Log: Shoplifting Arrest and People Celebrating - http://bit.ly/jEj3HT #Brookfield #Massachusetts,Massachusetts News,topix_ma,0,0,Massachusetts,shoplifting_arrest
81159626086813696,Thu Jun 16 00:42:17 +0000 2011,Police Log: Shoplifting Arrest and Suspicious Lights Reported http://bit.ly/mKo5zJ via http://outside.in/01545,01545,01545,0,0,01545,shoplifting_arrest
76509034932473858,Fri Jun 03 04:42:30 +0000 2011,Pleasantville Police Blotter: Shoplifting Arrest at Key Food; Multiple Car Larcenies http://bit.ly/iqGtCW via http://outside.in/10514,10514,10514,0,0,10514,shoplifting_arrest
76479215960207360,Fri Jun 03 02:44:00 +0000 2011,Pleasantville Police Blotter: Shoplifting Arrest at Key Food; Multiple Car Larcenies http://bit.ly/jKmo1K via http://outside.in/10591,10591,10591,0,0,10591,shoplifting_arrest
76005182072303616,Wed Jun 01 19:20:22 +0000 2011,"Mother, Daughter Outing Results in Shoplifting Arrest http://scnct.us/TlqcC #scpick",Sacramento Connect,sacconnect,0,0,"Sacramento, CA",shoplifting_arrest
