tweet_id,created_at,full_text,user_name,user_screen_name,retweet_count,favorite_count,location,Category
1040336761380057089,Thu Sep 13 20:29:47 +0000 2018,.@dmiliband: I am struck by how asylum seekers who are victims of gang-related violence have had their protection taken away in the US.,Heather Brandon-Smith,HBrandonSmith,0,0,"Washington, D.C.",gang-related_violence
961131299200258049,Wed Feb 07 06:55:33 +0000 2018,FOR POLITICAL EXPEDIENCY ONLY Trump wrongfully associates gang-related violence with “unaccompanied alien minors” from Central America — many of whom came to the United States to escape gang violence in their home countries. https://t.co/0f6catZ5lv,Stephen a # RESISTER!,Stephen34004924,2,1,United States,gang-related_violence
961131062599585792,Wed Feb 07 06:54:36 +0000 2018,FOR POLITICAL EXPEDIENCY ONLY Trump wrongfully associates gang-related violence with “unaccompanied alien minors” from Central America — many of whom came to the United States to escape gang violence in their home countries. https://t.co/BvsM6RMKmw,Stephen Bowden,StephenBowden69,2,5,In the Heart of Reality   ,gang-related_violence
958038918263341056,Mon Jan 29 18:07:32 +0000 2018,An investigation by newspaper Expressen into gang-related violence in Stockholm —the site of 552 shootings linked to criminal gangs between found that 95 per cent of 192 individuals confirmed by police as involved in the capital’s organised crime scene had a migration background.,david turner,Dogdocdlt8291,0,0,. Sarasota native ,gang-related_violence
834854866686181377,Thu Feb 23 19:58:05 +0000 2017,She has been seeking asylum for more than a year after fleeing gang-related violence in El Salvador https://t.co/cIuyo5YeRe,Fort Worth Now,FortWorthCP,0,0,"Fort Worth, TX",gang-related_violence
825417543980556297,Sat Jan 28 18:57:32 +0000 2017,"@turfnerd219 Gang-related violence is bad. Yes. It is not an immigration or refugee issue, though. It is a gang issue.",Machine Pun Kelly 🇺🇦,KellyScaletta,0,0,"Elgin, TX",gang-related_violence
810691150113898496,Mon Dec 19 03:40:06 +0000 2016,"The Game: [I facilitate and engage in gang-related violence daily] 

Me: https://t.co/sdwbw3JNiw",Para I,Paracelsus,0,1,Transelman People’s Republic,gang-related_violence
793268608361046016,Tue Nov 01 01:49:09 +0000 2016,3 shot in gang-related violence https://t.co/yxg9xptfKz @DarianTrotter @News4SA,Darian Trotter-Thomas,DarianTrotter,1,0,"San Antonio, TX",gang-related_violence
776721129545138176,Fri Sep 16 09:55:22 +0000 2016,"@karijones whoa, hopefully they're ok. There for awhile we had a shooting every couple of days, gang-related violence.",AJ Dome,AJDomer,0,0,"Tornado Alley, USA",gang-related_violence
