date,crime_type,state,Primary Category,Secondary Category
03-2010,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT
03-2010,ATTEMPTED ROBBERY,California,Violent Crimes,ROBBERY
03-2010,CRIMINAL THREATS - NO WEAPON DISPLAYED,California,,OTHER
03-2010,BRANDISH WEAPON,California,,OTHER
03-2010,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT
03-2010,INTIMATE PARTNER - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT
03-2010,VANDALISM - MISDEAMEANOR ($399 OR UNDER),California,,OTHER
03-2010,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT
03-2010,VANDALISM - MISDEAMEANOR ($399 OR UNDER),California,,OTHER
03-2010,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California,Violent Crimes,ASSAULT
03-2010,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California,Violent Crimes,ASSAULT
03-2010,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT
03-2010,ROBBERY,California,Violent Crimes,ROBBERY
03-2010,THROWING OBJECT AT MOVING VEHICLE,California,,OTHER
03-2010,BURGLARY FROM VEHICLE,California,Property Crimes,BURGLARY
03-2010,OTHER MISCELLANEOUS CRIME,California,,OTHER
03-2010,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT
03-2010,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),California,,OTHER
03-2010,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT
03-2010,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California,Violent Crimes,ASSAULT
03-2010,THEFT PLAIN - PETTY ($950 & UNDER),California,,OTHER
03-2010,BURGLARY,California,Property Crimes,BURGLARY
03-2010,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",California,,OTHER
03-2010,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT
03-2010,OTHER MISCELLANEOUS CRIME,California,,OTHER
03-2010,INTIMATE PARTNER - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT
03-2010,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT
03-2010,OTHER MISCELLANEOUS CRIME,California,,OTHER
03-2010,SHOTS FIRED AT INHABITED DWELLING,California,,OTHER
03-2010,OTHER MISCELLANEOUS CRIME,California,,OTHER
03-2010,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",California,,OTHER
03-2010,CRIMINAL THREATS - NO WEAPON DISPLAYED,California,,OTHER
04-2010,VANDALISM - MISDEAMEANOR ($399 OR UNDER),California,,OTHER
04-2010,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California,Violent Crimes,ASSAULT
04-2010,VANDALISM - MISDEAMEANOR ($399 OR UNDER),California,,OTHER
04-2010,VEHICLE - STOLEN,California,,OTHER
04-2010,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California,Violent Crimes,ASSAULT
04-2010,ROBBERY,California,Violent Crimes,ROBBERY
04-2010,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California,Violent Crimes,ASSAULT
04-2010,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",California,,OTHER
04-2010,CRIMINAL THREATS - NO WEAPON DISPLAYED,California,,OTHER
04-2010,OTHER MISCELLANEOUS CRIME,California,,OTHER
04-2010,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",California,,OTHER
04-2010,BURGLARY FROM VEHICLE,California,Property Crimes,BURGLARY
04-2010,THEFT PLAIN - PETTY ($950 & UNDER),California,,OTHER
04-2010,KIDNAPPING - GRAND ATTEMPT,California,Violent Crimes,KIDNAPPING
04-2010,CRIMINAL HOMICIDE,California,Violent Crimes,HOMICIDE
04-2010,THEFT PLAIN - ATTEMPT,California,,OTHER
04-2010,ATTEMPTED ROBBERY,California,Violent Crimes,ROBBERY
