cmplnt_num,cmplnt_fr_dt,cmplnt_fr_tm,cmplnt_to_dt,cmplnt_to_tm,addr_pct_cd,rpt_dt,ky_cd,ofns_desc,pd_cd,pd_desc,crm_atpt_cptd_cd,law_cat_cd,boro_nm,loc_of_occur_desc,prem_typ_desc,juris_desc,jurisdiction_code,parks_nm,hadevelopt,housing_psa,x_coord_cd,y_coord_cd,susp_age_group,susp_race,susp_sex,transit_district,latitude,longitude,lat_lon,patrol_boro,station_name,vic_age_group,vic_race,vic_sex
279656159,2023-12-26T00:00:00.000,18:00:00,2023-12-27T00:00:00.000,12:30:00,32.0,2023-12-27T00:00:00.000,121,CRIMINAL MISCHIEF & RELATED OF,267.0,"MISCHIEF, CRIMINAL 3 & 2, OF M",COMPLETED,FELONY,MANHATTAN,FRONT OF,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2,(null),(null),741,998922.0,235604.0,UNKNOWN,UNKNOWN,U,,40.813343,-73.946995,"(40.813343, -73.946995)",PATROL BORO MAN NORTH,(null),25-44,BLACK,M
279571195,2023-12-26T00:00:00.000,09:00:00,2023-12-26T00:00:00.000,16:00:00,111.0,2023-12-27T00:00:00.000,578,HARRASSMENT 2,637.0,"HARASSMENT,SUBD 1,CIVILIAN",COMPLETED,VIOLATION,QUEENS,INSIDE,RESIDENCE-HOUSE,N.Y. POLICE DEPT,0,(null),(null),(null),1057825.0,219265.0,UNKNOWN,BLACK,F,,40.768202,-73.734381,"(40.768202, -73.734381)",PATROL BORO QUEENS NORTH,(null),45-64,WHITE,M
279589493,2023-12-27T00:00:00.000,06:40:00,2023-12-27T00:00:00.000,06:50:00,19.0,2023-12-27T00:00:00.000,578,HARRASSMENT 2,637.0,"HARASSMENT,SUBD 1,CIVILIAN",COMPLETED,VIOLATION,MANHATTAN,FRONT OF,RESTAURANT/DINER,N.Y. POLICE DEPT,0,(null),(null),(null),995731.0,217735.0,UNKNOWN,BLACK,M,,40.764303,-73.958551,"(40.764303, -73.958551)",PATROL BORO MAN NORTH,(null),45-64,WHITE,M
279626551,2023-12-27T00:00:00.000,09:16:00,2023-12-27T00:00:00.000,10:10:00,120.0,2023-12-27T00:00:00.000,361,OFF. AGNST PUB ORD SENSBLTY &,639.0,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,STATEN ISLAND,INSIDE,RESIDENCE-HOUSE,N.Y. POLICE DEPT,0,(null),(null),(null),961054.0,173435.0,45-64,WHITE,M,,40.642687,-74.083582,"(40.642687, -74.083582)",PATROL BORO STATEN ISLAND,(null),45-64,WHITE,M
279534514,2023-12-27T00:00:00.000,00:33:00,2023-12-27T00:00:00.000,00:52:00,107.0,2023-12-27T00:00:00.000,347,INTOXICATED & IMPAIRED DRIVING,905.0,"INTOXICATED DRIVING,ALCOHOL",COMPLETED,MISDEMEANOR,QUEENS,(null),STREET,N.Y. STATE POLICE,11,(null),(null),(null),1034944.0,200799.0,45-64,UNKNOWN,M,,40.71767831931047,-73.81712589592719,"(40.717678319310465, -73.81712589592719)",PATROL BORO QUEENS SOUTH,(null),UNKNOWN,UNKNOWN,E
279761631,2023-12-26T00:00:00.000,20:26:00,2023-12-26T00:00:00.000,20:40:00,41.0,2023-12-27T00:00:00.000,126,MISCELLANEOUS PENAL LAW,198.0,CRIMINAL CONTEMPT 1,COMPLETED,FELONY,BRONX,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,(null),(null),(null),1015482.0,237651.0,25-44,WHITE HISPANIC,M,,40.81892,-73.887162,"(40.81892, -73.887162)",PATROL BORO BRONX,(null),UNKNOWN,WHITE HISPANIC,L
279621793,2023-12-26T00:00:00.000,19:40:00,2023-12-26T00:00:00.000,19:50:00,109.0,2023-12-27T00:00:00.000,341,PETIT LARCENY,333.0,"LARCENY,PETIT FROM STORE-SHOPL",COMPLETED,MISDEMEANOR,QUEENS,INSIDE,CHAIN STORE,N.Y. POLICE DEPT,0,(null),(null),(null),1037217.0,228401.0,UNKNOWN,UNKNOWN,M,,40.793427,-73.808707,"(40.793427, -73.808707)",PATROL BORO QUEENS NORTH,(null),UNKNOWN,UNKNOWN,D
279623848,2023-12-27T00:00:00.000,18:25:00,2023-12-27T00:00:00.000,18:29:00,14.0,2023-12-27T00:00:00.000,578,HARRASSMENT 2,638.0,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,MANHATTAN,FRONT OF,STREET,N.Y. POLICE DEPT,0,(null),(null),(null),985945.0,212183.0,25-44,UNKNOWN,M,,40.749071,-73.99388,"(40.749071, -73.99388)",PATROL BORO MAN SOUTH,(null),45-64,BLACK,M
279593182,2023-12-24T00:00:00.000,11:24:00,2023-12-24T00:00:00.000,11:26:00,14.0,2023-12-27T00:00:00.000,341,PETIT LARCENY,333.0,"LARCENY,PETIT FROM STORE-SHOPL",COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,RESTAURANT/DINER,N.Y. POLICE DEPT,0,(null),(null),(null),988063.0,215081.0,UNKNOWN,BLACK,M,,40.757025,-73.986236,"(40.757025, -73.986236)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,D
279571081,2023-12-26T00:00:00.000,19:15:00,2023-12-26T00:00:00.000,19:20:00,6.0,2023-12-27T00:00:00.000,341,PETIT LARCENY,333.0,"LARCENY,PETIT FROM STORE-SHOPL",COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,CLOTHING/BOUTIQUE,N.Y. POLICE DEPT,0,(null),(null),(null),982967.0,208665.0,25-44,BLACK,U,,40.739415,-74.004628,"(40.739415, -74.004628)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,D
