DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA ,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
1307355,02/20/2010 12:00:00 AM,02/20/2010 12:00:00 AM,1350,13,Newton,1385,2,900,VIOLATION OF COURT ORDER,0913 1814 2000,48,M,H,501.0,SINGLE FAMILY DWELLING,,,AA,Adult Arrest,900.0,,,,300 E  GAGE                         AV,,33.9825,-118.2695
11401303,09/13/2010 12:00:00 AM,09/12/2010 12:00:00 AM,45,14,Pacific,1485,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329,0,M,W,101.0,STREET,,,IC,Invest Cont,740.0,,,,SEPULVEDA                    BL,MANCHESTER                   AV,33.9599,-118.3962
70309629,08/09/2010 12:00:00 AM,08/09/2010 12:00:00 AM,1515,13,Newton,1324,2,946,OTHER MISCELLANEOUS CRIME,0344,0,M,H,103.0,ALLEY,,,IC,Invest Cont,946.0,,,,1300 E  21ST                         ST,,34.0224,-118.2524
90631215,01/05/2010 12:00:00 AM,01/05/2010 12:00:00 AM,150,6,Hollywood,646,2,900,VIOLATION OF COURT ORDER,1100 0400 1402,47,F,W,101.0,STREET,102.0,HAND GUN,IC,Invest Cont,900.0,998.0,,,CAHUENGA                     BL,HOLLYWOOD                    BL,34.1016,-118.3295
100100501,01/03/2010 12:00:00 AM,01/02/2010 12:00:00 AM,2100,1,Central,176,1,122,"RAPE, ATTEMPTED",0400,47,F,H,103.0,ALLEY,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,122.0,,,,8TH                          ST,SAN PEDRO                    ST,34.0387,-118.2488
100100506,01/05/2010 12:00:00 AM,01/04/2010 12:00:00 AM,1650,1,Central,162,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0344 1402,23,M,B,404.0,DEPARTMENT STORE,,,AA,Adult Arrest,442.0,,,,700 W  7TH                          ST,,34.048,-118.2577
100100508,01/08/2010 12:00:00 AM,01/07/2010 12:00:00 AM,2005,1,Central,182,1,330,BURGLARY FROM VEHICLE,0344,46,M,H,101.0,STREET,,,IC,Invest Cont,330.0,,,,PICO                         BL,GRAND                        AV,34.0389,-118.2643
100100509,01/09/2010 12:00:00 AM,01/08/2010 12:00:00 AM,2100,1,Central,157,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416,51,M,B,710.0,OTHER PREMISE,500.0,UNKNOWN WEAPON/OTHER WEAPON,AA,Adult Arrest,230.0,,,,500    CROCKER                      ST,,34.0435,-118.2427
100100510,01/09/2010 12:00:00 AM,01/09/2010 12:00:00 AM,230,1,Central,171,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0400 0416,30,M,H,108.0,PARKING LOT,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,230.0,,,,800 W  OLYMPIC                      BL,,34.045,-118.264
100100511,01/09/2010 12:00:00 AM,01/06/2010 12:00:00 AM,2100,1,Central,132,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 1402,55,M,W,710.0,OTHER PREMISE,,,IC,Invest Cont,341.0,998.0,,,200 S  OLIVE                        ST,,34.0538,-118.2488
100100521,01/14/2010 12:00:00 AM,01/14/2010 12:00:00 AM,1445,1,Central,118,2,624,BATTERY - SIMPLE ASSAULT,0400 0429 2000,38,F,B,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,900 N  BROADWAY,,34.064,-118.2375
100100522,01/15/2010 12:00:00 AM,01/14/2010 12:00:00 AM,2000,1,Central,158,1,210,ROBBERY,0344,40,M,H,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,210.0,,,,ALAMEDA                      ST,7TH                          ST,34.035,-118.2386
100100523,01/15/2010 12:00:00 AM,01/15/2010 12:00:00 AM,245,1,Central,182,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329,24,F,W,102.0,SIDEWALK,,,AA,Adult Arrest,740.0,,,,1100 S  OLIVE                        ST,,34.0409,-118.2609
100100529,01/16/2010 12:00:00 AM,01/15/2010 12:00:00 AM,1745,1,Central,152,2,755,BOMB SCARE,0404,29,F,B,738.0,LIBRARY,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,755.0,,,,600 W  5TH                          ST,,34.0502,-118.254
100100531,01/16/2010 12:00:00 AM,01/15/2010 12:00:00 AM,2030,1,Central,127,1,210,ROBBERY,0344 0416 1218,47,M,A,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210.0,,,,1ST,LOS ANGELES,34.0515,-118.2424
100100535,01/17/2010 12:00:00 AM,01/16/2010 12:00:00 AM,1735,1,Central,185,2,946,OTHER MISCELLANEOUS CRIME,,41,M,W,103.0,ALLEY,,,IC,Invest Cont,946.0,999.0,,,300 E  OLYMPIC                      BL,,34.0389,-118.255
100100552,01/23/2010 12:00:00 AM,01/23/2010 12:00:00 AM,1225,1,Central,192,2,237,CHILD NEGLECT (SEE 300 W.I.C.),1251,11,M,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,237.0,,,,1300 S  FLOWER                       ST,,34.0401,-118.2668
100100553,01/23/2010 12:00:00 AM,01/23/2010 12:00:00 AM,1100,1,Central,166,1,210,ROBBERY,0344 0416,50,M,W,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210.0,,,,600    SAN JULIAN                   ST,,34.0428,-118.2461
100100555,01/23/2010 12:00:00 AM,01/23/2010 12:00:00 AM,2000,1,Central,132,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,2000,18,F,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,236.0,,,,200 S  GRAND                        AV,,34.0545,-118.2499
100100561,01/26/2010 12:00:00 AM,01/26/2010 12:00:00 AM,1820,1,Central,119,1,210,ROBBERY,0346 0400,37,M,H,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,210.0,,,,800 N  ALAMEDA                      ST,,34.0563,-118.2374
100100562,01/28/2010 12:00:00 AM,01/28/2010 12:00:00 AM,2345,1,Central,152,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0416 2000,28,M,O,108.0,PARKING LOT,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626.0,,,,500 S  GRAND                        AV,,34.0502,-118.254
100100564,01/30/2010 12:00:00 AM,01/29/2010 12:00:00 AM,1630,1,Central,139,1,330,BURGLARY FROM VEHICLE,0344 1609,25,F,W,101.0,STREET,,,IC,Invest Cont,330.0,,,,800    TRACTION                     AV,,34.0454,-118.236
100100570,01/31/2010 12:00:00 AM,01/31/2010 12:00:00 AM,130,1,Central,139,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,31,M,H,210.0,RESTAURANT/FAST FOOD,,,IC,Invest Cont,440.0,,,,600 E  2ND                          ST,,34.0472,-118.2371
100100571,01/31/2010 12:00:00 AM,01/31/2010 12:00:00 AM,1000,1,Central,192,2,624,BATTERY - SIMPLE ASSAULT,0400,36,F,H,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624.0,,,,1400 S  HOPE                         ST,,34.0382,-118.2665
100100572,02/01/2010 12:00:00 AM,01/31/2010 12:00:00 AM,1700,1,Central,166,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416,61,F,B,102.0,SIDEWALK,500.0,UNKNOWN WEAPON/OTHER WEAPON,AO,Adult Other,230.0,,,,600 S  SAN PEDRO                    ST,,34.0423,-118.2452
100100573,02/01/2010 12:00:00 AM,01/31/2010 12:00:00 AM,2200,1,Central,153,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0416,50,M,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626.0,,,,200 W  6TH                          ST,,34.046,-118.2509
100100574,02/01/2010 12:00:00 AM,01/31/2010 12:00:00 AM,1930,1,Central,145,2,624,BATTERY - SIMPLE ASSAULT,0416,40,M,W,207.0,BAR/COCKTAIL/NIGHTCLUB,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624.0,,,,5TH,LOS ANGELES,34.0461,-118.2476
100100575,02/01/2010 12:00:00 AM,01/31/2010 12:00:00 AM,1720,1,Central,181,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1402,36,M,W,710.0,OTHER PREMISE,,,AA,Adult Arrest,341.0,,,,1100 S  FIGUEROA                     ST,,34.0437,-118.2652
100100578,02/05/2010 12:00:00 AM,02/03/2010 12:00:00 AM,1255,1,Central,185,2,946,OTHER MISCELLANEOUS CRIME,,27,M,H,710.0,OTHER PREMISE,,,IC,Invest Cont,946.0,999.0,,,1200    MAPLE                        AV,,34.0357,-118.2563
100100580,02/02/2010 12:00:00 AM,02/01/2010 12:00:00 AM,1355,1,Central,158,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0521,48,F,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",511.0,VERBAL THREAT,AO,Adult Other,930.0,,,,6TH,CERES,34.0394,-118.2405
100100581,02/05/2010 12:00:00 AM,02/05/2010 12:00:00 AM,1425,1,Central,147,2,624,BATTERY - SIMPLE ASSAULT,0400 0417,32,F,H,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,624.0,,,,SAN JULIAN                   ST,5TH                          ST,34.0446,-118.245
100100586,02/06/2010 12:00:00 AM,02/06/2010 12:00:00 AM,110,1,Central,171,2,624,BATTERY - SIMPLE ASSAULT,0416,36,F,H,207.0,BAR/COCKTAIL/NIGHTCLUB,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,800 W  OLYMPIC                      BL,,34.045,-118.264
100100587,02/05/2010 12:00:00 AM,02/05/2010 12:00:00 AM,2030,1,Central,174,2,624,BATTERY - SIMPLE ASSAULT,0400 0416,45,F,B,503.0,HOTEL,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,624.0,,,,700 S  MAIN                         ST,,34.0439,-118.2514
100100591,02/10/2010 12:00:00 AM,02/08/2010 12:00:00 AM,1625,1,Central,182,1,330,BURGLARY FROM VEHICLE,0344 1609,22,F,W,108.0,PARKING LOT,,,IC,Invest Cont,330.0,,,,1200 S  FLOWER                       ST,,34.0415,-118.2654
100100592,02/08/2010 12:00:00 AM,02/08/2010 12:00:00 AM,1800,1,Central,162,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,23,M,H,203.0,OTHER BUSINESS,,,AA,Adult Arrest,440.0,,,,700 W  7TH                          ST,,34.048,-118.2577
100100608,02/11/2010 12:00:00 AM,02/10/2010 12:00:00 AM,1900,1,Central,152,1,220,ATTEMPTED ROBBERY,0416,27,M,H,210.0,RESTAURANT/FAST FOOD,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,220.0,,,,6TH                          ST,FLOWER,34.0502,-118.2574
100100610,02/11/2010 12:00:00 AM,02/10/2010 12:00:00 AM,1800,1,Central,162,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325 1402,23,M,B,404.0,DEPARTMENT STORE,,,AA,Adult Arrest,442.0,998.0,,,700 W  7TH                          ST,,34.048,-118.2577
100100616,02/11/2010 12:00:00 AM,02/11/2010 12:00:00 AM,1515,1,Central,192,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1212,0,M,H,102.0,SIDEWALK,,,AA,Adult Arrest,341.0,,,,PICO,GRAND,34.0389,-118.2643
100100622,02/13/2010 12:00:00 AM,02/13/2010 12:00:00 AM,55,1,Central,171,2,624,BATTERY - SIMPLE ASSAULT,0416,24,M,O,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,800 W  OLYMPIC                      BL,,34.045,-118.264
100100623,02/13/2010 12:00:00 AM,02/13/2010 12:00:00 AM,150,1,Central,119,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329,22,F,W,210.0,RESTAURANT/FAST FOOD,,,AA,Adult Arrest,745.0,,,,700 E  CESAR E CHAVEZ               AV,,34.0559,-118.2296
100100628,02/15/2010 12:00:00 AM,02/14/2010 12:00:00 AM,1500,1,Central,158,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0408,40,M,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,230.0,,,,500    STANFORD                     AV,,34.0426,-118.2412
100100630,02/15/2010 12:00:00 AM,02/15/2010 12:00:00 AM,100,1,Central,123,1,210,ROBBERY,0400,22,F,O,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210.0,,,,1ST                          ST,HILL                         ST,34.0544,-118.2466
100100632,02/16/2010 12:00:00 AM,02/16/2010 12:00:00 AM,1540,1,Central,138,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0400 2000,22,F,H,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626.0,,,,500 E  4TH                          ST,,34.0449,-118.2415
100100633,02/17/2010 12:00:00 AM,02/17/2010 12:00:00 AM,1725,1,Central,153,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329,35,M,H,406.0,OTHER STORE,,,IC,Invest Cont,745.0,,,,500 S  BROADWAY,,34.0481,-118.2507
100100634,02/20/2010 12:00:00 AM,02/19/2010 12:00:00 AM,2040,1,Central,162,2,624,BATTERY - SIMPLE ASSAULT,0400,44,M,O,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624.0,,,,700 S  HOPE                         ST,,34.048,-118.2577
100100635,02/20/2010 12:00:00 AM,02/19/2010 12:00:00 AM,2030,1,Central,162,2,624,BATTERY - SIMPLE ASSAULT,0400,50,M,O,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624.0,,,,700 S  HOPE                         ST,,34.048,-118.2577
100100638,02/20/2010 12:00:00 AM,02/20/2010 12:00:00 AM,100,1,Central,164,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329,0,M,O,101.0,STREET,,,AA,Adult Arrest,740.0,,,,100 W  7TH                          ST,,34.0439,-118.2514
100100639,02/20/2010 12:00:00 AM,02/20/2010 12:00:00 AM,230,1,Central,164,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000,25,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,626.0,,,,600 S  MAIN                         ST,,34.0453,-118.2499
100100642,02/21/2010 12:00:00 AM,02/21/2010 12:00:00 AM,500,1,Central,174,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0400 0408,35,F,B,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,626.0,,,,800 S  SPRING                       ST,,34.0431,-118.2536
100100650,02/25/2010 12:00:00 AM,02/25/2010 12:00:00 AM,30,1,Central,111,1,310,BURGLARY,0344 1251,20,F,A,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,310.0,,,,500 N  FIGUEROA                     ST,,34.0617,-118.2469
100100651,02/26/2010 12:00:00 AM,02/25/2010 12:00:00 AM,2330,1,Central,176,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,0416 0429,23,F,H,108.0,PARKING LOT,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,236.0,,,,600 E  8TH                          ST,,34.0394,-118.2496
100100654,02/27/2010 12:00:00 AM,02/27/2010 12:00:00 AM,1955,1,Central,174,2,946,OTHER MISCELLANEOUS CRIME,,0,M,W,101.0,STREET,,,AA,Adult Arrest,946.0,,,,W  7TH                          ST,S  SPRING                       ST,34.0445,-118.2523
100100655,02/28/2010 12:00:00 AM,02/28/2010 12:00:00 AM,15,1,Central,133,2,624,BATTERY - SIMPLE ASSAULT,0416,20,M,H,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,300 W  2ND                          ST,,34.0524,-118.2467
100100657,03/01/2010 12:00:00 AM,02/28/2010 12:00:00 AM,2200,1,Central,192,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0400 2000,25,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,626.0,,,,1300 S  GRAND                        AV,,34.0389,-118.2643
100100658,03/01/2010 12:00:00 AM,03/01/2010 12:00:00 AM,305,1,Central,162,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329,40,M,W,203.0,OTHER BUSINESS,,,IC,Invest Cont,745.0,,,,800 S  GRAND                        AV,,34.0459,-118.2579
100114820,08/01/2010 12:00:00 AM,08/01/2010 12:00:00 AM,250,1,Central,192,1,210,ROBBERY,0344 0355 0400,33,M,H,101.0,STREET,113.0,SIMULATED GUN,IC,Invest Cont,210.0,,,,GRAND,PICO,34.0384,-118.2646
100100659,02/28/2010 12:00:00 AM,02/28/2010 12:00:00 AM,1825,1,Central,138,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0200 0400,44,F,W,725.0,"GOVERNMENT FACILITY (FEDERAL,STATE, COUNTY & CITY)",,,AA,Adult Arrest,626.0,,,,300 S  LOS ANGELES                  ST,,34.0485,-118.2447
100100660,03/01/2010 12:00:00 AM,03/01/2010 12:00:00 AM,100,1,Central,148,1,648,ARSON,1501,0,M,O,101.0,STREET,,,IC,Invest Cont,648.0,,,,5TH,SAN PEDRO                    ST,34.0435,-118.2427
100100661,03/01/2010 12:00:00 AM,03/01/2010 12:00:00 AM,410,1,Central,143,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329,26,M,H,203.0,OTHER BUSINESS,,,IC,Invest Cont,745.0,,,,400 S  HILL                         ST,,34.0503,-118.2504
100100672,03/06/2010 12:00:00 AM,03/06/2010 12:00:00 AM,420,1,Central,142,1,121,"RAPE, FORCIBLE",0413 0500 0536 0526,28,F,H,503.0,HOTEL,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,121.0,,,,400 S  FIGUEROA                     ST,,34.0535,-118.256
100100676,03/07/2010 12:00:00 AM,03/06/2010 12:00:00 AM,1930,1,Central,105,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329,44,M,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,745.0,,,,1300 N  BROADWAY,,34.0695,-118.2324
100100690,03/11/2010 12:00:00 AM,03/11/2010 12:00:00 AM,2300,1,Central,182,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329,26,M,W,122.0,"VEHICLE, PASSENGER/TRUCK",,,AO,Adult Other,745.0,,,,1100 S  GRAND                        AV,,34.0416,-118.262
100100691,03/11/2010 12:00:00 AM,03/11/2010 12:00:00 AM,2110,1,Central,165,2,624,BATTERY - SIMPLE ASSAULT,0416 1402,40,F,W,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,998.0,,,600 S  LOS ANGELES                  ST,,34.0446,-118.249
100100693,03/12/2010 12:00:00 AM,03/11/2010 12:00:00 AM,815,1,Central,123,2,624,BATTERY - SIMPLE ASSAULT,0416 0417,52,F,H,802.0,MUNICIPAL BUS LINE INCLUDES LADOT/DASH,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,1ST,SPRING,34.053,-118.2444
100100694,03/12/2010 12:00:00 AM,03/12/2010 12:00:00 AM,930,1,Central,166,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416 0411 0417 1402,62,M,H,101.0,STREET,500.0,UNKNOWN WEAPON/OTHER WEAPON,AO,Adult Other,230.0,,,,600    WALL                         ST,,34.0435,-118.2471
100100697,03/12/2010 12:00:00 AM,03/12/2010 12:00:00 AM,1520,1,Central,151,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 1402,0,M,X,101.0,STREET,,,AA,Adult Arrest,341.0,998.0,,,7TH,FIGUEROA,34.0499,-118.2614
100100706,03/13/2010 12:00:00 AM,03/13/2010 12:00:00 AM,1615,1,Central,153,2,624,BATTERY - SIMPLE ASSAULT,0400 2000,39,F,B,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,7TH                          ST,BROADWAY,34.0452,-118.2534
100100708,03/14/2010 12:00:00 AM,03/14/2010 12:00:00 AM,800,1,Central,166,1,220,ATTEMPTED ROBBERY,0337 0400 0411 0432 0906,50,M,B,102.0,SIDEWALK,204.0,FOLDING KNIFE,IC,Invest Cont,220.0,,,,SAN PEDRO                    ST,7TH                          ST,34.0407,-118.2468
100100711,03/14/2010 12:00:00 AM,03/12/2010 12:00:00 AM,1700,1,Central,152,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0432,54,M,O,725.0,"GOVERNMENT FACILITY (FEDERAL,STATE, COUNTY & CITY)",511.0,VERBAL THREAT,IC,Invest Cont,930.0,,,,600 W  5TH                          ST,,34.0502,-118.254
100100713,03/14/2010 12:00:00 AM,03/14/2010 12:00:00 AM,2000,1,Central,156,1,761,BRANDISH WEAPON,0334,76,M,H,710.0,OTHER PREMISE,207.0,OTHER KNIFE,IC,Invest Cont,761.0,,,,500 S  SAN PEDRO                    ST,,34.0442,-118.2439
100100714,03/15/2010 12:00:00 AM,03/14/2010 12:00:00 AM,2050,1,Central,162,2,624,BATTERY - SIMPLE ASSAULT,0416,16,F,H,406.0,OTHER STORE,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,600 W  9TH                          ST,,34.0451,-118.2604
100100715,03/15/2010 12:00:00 AM,03/15/2010 12:00:00 AM,1,1,Central,176,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000,21,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626.0,,,,700 S  SAN PEDRO                    ST,,34.0407,-118.2468
100100716,03/14/2010 12:00:00 AM,03/14/2010 12:00:00 AM,2305,1,Central,159,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329,22,M,H,102.0,SIDEWALK,,,AA,Adult Arrest,745.0,,,,6TH                          ST,SANTA FE                     AV,34.0384,-118.2305
100100719,03/16/2010 12:00:00 AM,03/16/2010 12:00:00 AM,1650,1,Central,156,2,624,BATTERY - SIMPLE ASSAULT,0416,57,F,B,503.0,HOTEL,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,624.0,,,,5TH                          ST,SAN JULIAN,34.0446,-118.245
100100723,03/18/2010 12:00:00 AM,03/18/2010 12:00:00 AM,250,1,Central,165,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 1217,18,F,H,211.0,PAWN SHOP,,,IC,Invest Cont,745.0,,,,300 E  7TH                          ST,,34.0424,-118.2493
100100724,03/18/2010 12:00:00 AM,03/18/2010 12:00:00 AM,15,1,Central,145,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0400,34,M,W,210.0,RESTAURANT/FAST FOOD,512.0,MACE/PEPPER SPRAY,AA,Adult Arrest,230.0,,,,400 S  MAIN                         ST,,34.0482,-118.2472
100100725,03/18/2010 12:00:00 AM,03/18/2010 12:00:00 AM,15,1,Central,145,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0400,27,F,W,210.0,RESTAURANT/FAST FOOD,512.0,MACE/PEPPER SPRAY,AA,Adult Arrest,230.0,,,,400 S  MAIN                         ST,,34.0482,-118.2472
100100726,03/19/2010 12:00:00 AM,03/19/2010 12:00:00 AM,1000,13,Newton,1307,2,624,BATTERY - SIMPLE ASSAULT,0416 0429 0917 1804,32,F,H,203.0,OTHER BUSINESS,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,800 E  8TH                          ST,,34.0371,-118.2475
100100728,03/19/2010 12:00:00 AM,03/19/2010 12:00:00 AM,1140,1,Central,147,1,210,ROBBERY,0305 0344 0416,33,M,W,504.0,OTHER RESIDENCE,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210.0,,,,5TH,WALL,34.0446,-118.245
100100730,03/23/2010 12:00:00 AM,03/20/2010 12:00:00 AM,1215,1,Central,111,2,647,THROWING OBJECT AT MOVING VEHICLE,,26,M,B,122.0,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,647.0,,,,CESAR E CHAVEZ,FIGUEROA                     ST,34.0627,-118.2463
100100731,03/21/2010 12:00:00 AM,03/21/2010 12:00:00 AM,320,1,Central,111,1,330,BURGLARY FROM VEHICLE,0344 0906 1402 1609,48,M,O,101.0,STREET,,,AA,Adult Arrest,330.0,998.0,,,BARTLETT,FIGUEROA,34.0635,-118.2458
100100733,03/21/2010 12:00:00 AM,03/21/2010 12:00:00 AM,1000,11,Northeast,1171,2,946,OTHER MISCELLANEOUS CRIME,1402,0,M,W,102.0,SIDEWALK,,,IC,Invest Cont,946.0,998.0,,,WAVERLY,SUNSET                       BL,34.0917,-118.2741
100100734,03/21/2010 12:00:00 AM,03/21/2010 12:00:00 AM,1315,1,Central,163,2,624,BATTERY - SIMPLE ASSAULT,0416 0419 1202,65,M,W,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,700 S  BROADWAY,,34.0452,-118.2534
100100736,03/22/2010 12:00:00 AM,03/22/2010 12:00:00 AM,1330,1,Central,162,1,343,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),0344 0601 1402 1606,23,M,B,404.0,DEPARTMENT STORE,,,IC,Invest Cont,343.0,998.0,,,700 W  7TH                          ST,,34.048,-118.2577
