DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA ,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
100308864,03/12/2010 12:00:00 AM,03/12/2010 12:00:00 AM,1620,3,Southwest,399,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329,44,M,H,108.0,PARKING LOT,,,IC,Invest Cont,740.0,,,,WESTERN,35TH,34.0247,-118.3089
100308865,03/13/2010 12:00:00 AM,03/13/2010 12:00:00 AM,1830,3,Southwest,362,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000,54,M,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",200.0,KNIFE WITH BLADE 6INCHES OR LESS,IC,Invest Cont,626.0,,,,4000    COCO                         AV,,34.0141,-118.3501
100308866,03/12/2010 12:00:00 AM,03/12/2010 12:00:00 AM,2200,3,Southwest,378,2,623,BATTERY POLICE (SIMPLE),0416 1212,0,M,H,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,623.0,,,,EXPOSITION,VERMONT,34.0182,-118.2915
100308867,03/12/2010 12:00:00 AM,03/12/2010 12:00:00 AM,2200,3,Southwest,378,2,946,OTHER MISCELLANEOUS CRIME,,23,M,H,101.0,STREET,,,AA,Adult Arrest,946.0,,,,EXPOSITION,VERMONT,34.0182,-118.2915
100308878,03/13/2010 12:00:00 AM,03/13/2010 12:00:00 AM,130,3,Southwest,363,1,320,"BURGLARY, ATTEMPTED",0344 1300,54,F,B,101.0,STREET,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,320.0,,,,3800 W  MARTIN LUTHER KING JR        BL,,34.0135,-118.3396
100308880,03/12/2010 12:00:00 AM,03/11/2010 12:00:00 AM,745,3,Southwest,338,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 1251,19,M,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,440.0,,,,3100    ORCHARD                      AV,,34.0265,-118.2882
100308881,03/12/2010 12:00:00 AM,03/12/2010 12:00:00 AM,1600,3,Southwest,359,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 1251,19,M,I,503.0,HOTEL,,,IC,Invest Cont,440.0,,,,3500 S  FIGUEROA                     ST,,34.0204,-118.2809
100308882,03/13/2010 12:00:00 AM,03/12/2010 12:00:00 AM,1630,3,Southwest,358,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 1251,19,M,W,738.0,LIBRARY,,,IC,Invest Cont,440.0,,,,600 W  35TH                         ST,,34.0204,-118.2809
100308883,03/14/2010 12:00:00 AM,03/14/2010 12:00:00 AM,1000,3,Southwest,375,2,624,BATTERY - SIMPLE ASSAULT,0400 0416,45,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",500.0,UNKNOWN WEAPON/OTHER WEAPON,AO,Adult Other,624.0,,,,1900    BROWNING                     BL,,34.0119,-118.3132
100308884,03/14/2010 12:00:00 AM,03/13/2010 12:00:00 AM,2330,3,Southwest,362,2,624,BATTERY - SIMPLE ASSAULT,0408 0400,43,F,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624.0,,,,4600    COLISEUM                     ST,,34.017,-118.3471
100308885,03/14/2010 12:00:00 AM,03/14/2010 12:00:00 AM,900,3,Southwest,335,2,624,BATTERY - SIMPLE ASSAULT,0400 0416,34,F,B,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624.0,,,,3100    6TH                          AV,,34.0263,-118.3236
100308886,03/14/2010 12:00:00 AM,03/14/2010 12:00:00 AM,805,3,Southwest,357,2,624,BATTERY - SIMPLE ASSAULT,0400 0429,24,M,W,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,EXPOSITION                   BL,FIGUEROA,34.0184,-118.2822
100308890,03/14/2010 12:00:00 AM,03/14/2010 12:00:00 AM,1145,3,Southwest,393,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0408 0400 0416 2000,27,F,B,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626.0,,,,3200 W  43RD                         PL,,34.0044,-118.3283
100308896,03/13/2010 12:00:00 AM,03/13/2010 12:00:00 AM,800,3,Southwest,361,2,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",1501,14,F,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,956.0,,,,4000    URSULA                       AV,,34.0149,-118.3524
100308900,03/14/2010 12:00:00 AM,03/14/2010 12:00:00 AM,1140,3,Southwest,315,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 0400,72,F,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,740.0,,,,2400 S  SAINT ANDREWS                PL,,34.0348,-118.3113
100308901,03/12/2010 12:00:00 AM,03/10/2010 12:00:00 AM,1830,3,Southwest,358,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 1251,21,F,W,102.0,SIDEWALK,,,IC,Invest Cont,440.0,,,,3600    MCCLINTOCK                   AV,,34.022,-118.289
100308902,03/12/2010 12:00:00 AM,03/12/2010 12:00:00 AM,900,3,Southwest,358,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 1251,20,F,W,102.0,SIDEWALK,,,IC,Invest Cont,440.0,,,,3500    WATT                         WY,,34.0235,-118.2858
100308907,03/14/2010 12:00:00 AM,03/14/2010 12:00:00 AM,1500,3,Southwest,308,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,1900    NORWOOD                      ST,,34.0365,-118.2767
