ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
4222874,HL497512,07/20/2005 09:38:10 PM,026XX S HARDING AVE,1330,CRIMINAL TRESPASS,TO LAND,OTHER,True,False,1031,10.0,22.0,30.0,26,1150469.0,1886100.0,2005,02/10/2018 03:50:01 PM,41.843357683,-87.723308167,"(41.843357683, -87.723308167)"
4221643,HL548265,08/14/2005 02:00:00 AM,048XX S LAFLIN ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,933,9.0,20.0,61.0,07,1167154.0,1872579.0,2005,02/28/2018 03:56:25 PM,41.805913127,-87.662465385,"(41.805913127, -87.662465385)"
4104153,HL444656,06/26/2005 04:49:54 AM,026XX W 15TH PL,0430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,STREET,True,False,1023,10.0,28.0,29.0,04B,1159049.0,1892297.0,2005,02/28/2018 03:56:25 PM,41.860191366,-87.69165141,"(41.860191366, -87.69165141)"
4290778,HL606147,09/11/2005 10:00:00 AM,012XX W 83RD ST,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,False,False,613,6.0,21.0,71.0,26,1169650.0,1849748.0,2005,02/28/2018 03:56:25 PM,41.743208229,-87.653972475,"(41.743208229, -87.653972475)"
4200980,HL530769,08/04/2005 02:00:00 PM,035XX W CERMAK RD,0820,THEFT,$500 AND UNDER,STREET,False,False,1024,10.0,22.0,30.0,06,1153246.0,1889155.0,2005,02/28/2018 03:56:25 PM,41.851686392,-87.713036146,"(41.851686392, -87.713036146)"
4218155,HL459125,07/02/2005 10:15:00 PM,004XX N LAWNDALE AVE,2024,NARCOTICS,POSS: HEROIN(WHITE),RESIDENCE PORCH/HALLWAY,True,False,1122,11.0,27.0,23.0,18,1151642.0,1902729.0,2005,02/10/2018 03:50:01 PM,41.888966617,-87.718566471,"(41.888966617, -87.718566471)"
4095112,HL438126,06/22/2005 11:15:00 PM,054XX N ELSTON AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,WAREHOUSE,False,False,1621,16.0,45.0,11.0,14,1139914.0,1936122.0,2005,02/28/2018 03:56:25 PM,41.980822923,-87.760817843,"(41.980822923, -87.760817843)"
4228158,HL545228,08/12/2005 04:58:25 PM,076XX S PHILLIPS AVE,0620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,False,False,421,4.0,7.0,43.0,05,1193858.0,1854760.0,2005,02/28/2018 03:56:25 PM,41.756402884,-87.565110422,"(41.756402884, -87.565110422)"
4045986,HL393385,06/01/2005 10:52:05 PM,031XX W MADISON ST,1320,CRIMINAL DAMAGE,TO VEHICLE,DRIVEWAY - RESIDENTIAL,False,False,1124,11.0,28.0,27.0,14,1155522.0,1899851.0,2005,02/28/2018 03:56:25 PM,41.880991939,-87.704394994,"(41.880991939, -87.704394994)"
4107967,HL429746,06/19/2005 01:13:00 AM,070XX S CORNELL AVE,0810,THEFT,OVER $500,STREET,False,True,332,3.0,5.0,43.0,06,1188568.0,1858632.0,2005,02/28/2018 03:56:25 PM,41.767155983,-87.584373348,"(41.767155983, -87.584373348)"
4078070,HL416981,06/13/2005 04:10:00 AM,0000X E CEDAR ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,1824,18.0,42.0,8.0,14,1176456.0,1907811.0,2005,02/28/2018 03:56:25 PM,41.902387887,-87.627286794,"(41.902387887, -87.627286794)"
4111814,HL443975,06/25/2005 08:49:00 PM,066XX S JUSTINE ST,0560,ASSAULT,SIMPLE,STREET,False,True,725,7.0,17.0,67.0,08A,1167151.0,1860645.0,2005,02/28/2018 03:56:25 PM,41.773164853,-87.662817746,"(41.773164853, -87.662817746)"
4279224,HL586661,09/01/2005 02:30:00 PM,004XX N PINE AVE,2851,PUBLIC PEACE VIOLATION,ARSON THREAT,RESIDENCE,False,False,1523,15.0,28.0,25.0,26,1139463.0,1902352.0,2005,02/28/2018 03:56:25 PM,41.888162809,-87.763302262,"(41.888162809, -87.763302262)"
4166660,HL403554,06/06/2005 08:50:00 PM,011XX N MAYFIELD AVE,2027,NARCOTICS,POSS: CRACK,SIDEWALK,True,False,1511,15.0,29.0,25.0,18,1136815.0,1907088.0,2005,02/10/2018 03:50:01 PM,41.901206855,-87.772913179,"(41.901206855, -87.772913179)"
4186429,HL520637,07/31/2005 05:15:00 PM,049XX S WOOD ST,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,False,False,931,9.0,16.0,61.0,05,1165181.0,1871966.0,2005,02/10/2018 03:50:01 PM,41.804273016,-87.669718979,"(41.804273016, -87.669718979)"
4277821,HL545434,08/12/2005 06:43:00 PM,017XX N LOTUS AVE,143C,WEAPONS VIOLATION,UNLAWFUL POSS AMMUNITION,RESIDENCE,False,False,2532,25.0,37.0,25.0,15,1139795.0,1911091.0,2005,02/10/2018 03:50:01 PM,41.912137611,-87.761869249,"(41.912137611, -87.761869249)"
4299686,HL609916,09/13/2005 04:00:00 PM,018XX W MARQUETTE RD,0486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,False,True,726,7.0,15.0,67.0,08B,1165322.0,1860252.0,2005,02/28/2018 03:56:25 PM,41.772125344,-87.669533548,"(41.772125344, -87.669533548)"
