Report Number,Offense ID,Offense Start DateTime,Offense End DateTime,Report DateTime,Group A B,Crime Against Category,Offense Parent Group,Offense,Offense Code,Precinct,Sector,Beat,MCPP,100 Block Address,Longitude,Latitude
2019-422989,11811535958,11/13/2019 02:14:00 PM,,11/13/2019 03:15:20 PM,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,E,G,G2,CENTRAL AREA/SQUIRE PARK,19XX BLOCK OF E YESLER WAY,-122.307004266,47.60167497
2019-423001,11810665395,11/13/2019 01:23:00 PM,11/13/2019 02:05:00 PM,11/13/2019 03:11:06 PM,A,PERSON,SEX OFFENSES,Fondling,11D,S,S,S1,NEW HOLLY,,0.0,0.0
2019-422998,11810631936,11/04/2019 12:00:00 AM,11/13/2019 01:21:00 PM,11/13/2019 02:49:28 PM,A,PROPERTY,FRAUD OFFENSES,Wire Fraud,26E,N,U,U3,SANDPOINT,38XX BLOCK OF NE 45TH ST,-122.285991168,47.6612628
2019-915196,11810611395,11/13/2019 02:49:00 AM,11/13/2019 02:49:00 AM,11/13/2019 02:42:47 PM,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,SW,W,W3,MORGAN,77XX BLOCK OF CALIFORNIA AVE SW,-122.387340787,47.53328763
2019-915195,11810592164,11/12/2019 08:15:00 AM,11/13/2019 08:00:00 AM,11/13/2019 02:33:41 PM,A,PROPERTY,FRAUD OFFENSES,Credit Card/Automated Teller Machine Fraud,26B,W,K,K1,DOWNTOWN COMMERCIAL,3RD AVE / MARION ST,-122.3333664,47.60491053
2019-915194,11810591529,11/12/2019 12:40:00 PM,11/12/2019 01:40:00 PM,11/13/2019 02:33:26 PM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,SW,F,F3,HIGHLAND PARK,90XX BLOCK OF 8TH AVE SW,-122.345449913,47.52211381
2019-915191,11810571138,11/10/2019 09:50:00 PM,11/11/2019 08:00:00 AM,11/13/2019 02:22:49 PM,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,N,J,J1,GREENWOOD,1XX BLOCK OF NW 85TH ST,-122.359314737,47.69061787
2019-915193,11810570934,11/12/2019 07:00:00 PM,11/12/2019 07:30:00 PM,11/13/2019 02:22:41 PM,A,PROPERTY,LARCENY-THEFT,Theft From Building,23D,N,J,J3,PHINNEY RIDGE,65XX BLOCK OF PHINNEY AVE N,-122.354358229,47.67688556
2019-422969,11810576968,09/23/2019 11:00:00 AM,11/13/2019 12:30:00 PM,11/13/2019 02:19:02 PM,A,PROPERTY,FRAUD OFFENSES,Identity Theft,26F,SW,W,W1,NORTH ADMIRAL,27XX BLOCK OF 36TH AVE SW,-122.37701814,47.57834865
2019-423004,11810548266,09/30/2019 12:01:00 AM,10/06/2019 05:00:00 PM,11/13/2019 02:15:41 PM,A,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,W,M,M2,SLU/CASCADE,19XX BLOCK OF 5TH AVE,-122.338523508,47.61334267
2019-915189,11810537183,11/11/2019 09:30:00 PM,11/11/2019 10:00:00 PM,11/13/2019 02:13:59 PM,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,N,U,U1,ROOSEVELT/RAVENNA,9XX BLOCK OF NE RAVENNA BLVD,-122.318036311,47.67242635
2019-915183,11810536312,11/10/2019 08:00:00 PM,11/12/2019 09:50:00 PM,11/13/2019 02:13:17 PM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,W,Q,Q3,QUEEN ANNE,WARREN AVE N / JOHN ST,-122.35413792,47.61976357
2019-915184,11810536063,11/11/2019 08:55:00 PM,11/12/2019 11:00:00 AM,11/13/2019 02:13:08 PM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,N,U,U3,SANDPOINT,68XX BLOCK OF 44TH AVE NE,-122.280935785,47.67778714
2019-915188,11810535870,11/12/2019 06:30:00 PM,11/12/2019 08:30:00 PM,11/13/2019 02:13:01 PM,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,E,G,G2,MADRONA/LESCHI,1XX BLOCK OF LAKESIDE AVE,-122.284980632,47.60233231
2019-915186,11810535728,10/11/2019 12:00:00 AM,11/01/2019 01:35:00 PM,11/13/2019 02:12:54 PM,A,PROPERTY,FRAUD OFFENSES,Impersonation,26C,S,S,S3,RAINIER VIEW,112XX BLOCK OF 57TH AVE S,-122.261017858,47.49896304
2019-915187,11810535302,11/09/2019 05:00:00 PM,11/09/2019 05:00:00 PM,11/13/2019 02:12:41 PM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,E,C,C1,MILLER PARK,11XX BLOCK OF 16TH AVE E,-122.311251555,47.62967759
2019-915182,11810503246,11/12/2019 08:15:00 PM,11/12/2019 08:15:00 PM,11/13/2019 02:03:58 PM,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,E,G,G1,FIRST HILL,5XX BLOCK OF 12TH AVE,-122.316780194,47.60713237
2019-422992,11810513238,11/13/2019 01:30:00 AM,,11/13/2019 01:55:12 PM,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,W,K,K2,PIONEER SQUARE,5XX BLOCK OF OCCIDENTAL AVE S,-122.333268209,47.59678343
2019-422992,11810537324,11/13/2019 01:30:00 AM,,11/13/2019 01:55:12 PM,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,W,K,K2,PIONEER SQUARE,5XX BLOCK OF OCCIDENTAL AVE S,-122.333268209,47.59678343
2019-915179,11810424278,11/12/2019 05:45:00 PM,11/12/2019 06:30:00 PM,11/13/2019 01:32:45 PM,A,PROPERTY,LARCENY-THEFT,Theft From Building,23D,W,K,K1,DOWNTOWN COMMERCIAL,9XX BLOCK OF 4TH AVE,-122.332582819,47.60573106
2019-422804,11810418856,10/25/2019 07:00:00 AM,11/01/2019 05:00:00 PM,11/13/2019 01:27:30 PM,A,PROPERTY,FRAUD OFFENSES,Impersonation,26C,S,O,O2,SODO,27XX BLOCK OF 6TH AVE S,-122.32597729,47.57876721
2019-915178,11810407760,11/12/2019 05:15:00 PM,11/12/2019 06:30:00 PM,11/13/2019 01:22:55 PM,A,PROPERTY,LARCENY-THEFT,Theft From Building,23D,W,K,K1,DOWNTOWN COMMERCIAL,9XX BLOCK OF 4TH AVE,-122.332582819,47.60573106
2019-915176,11810407438,11/12/2019 12:05:00 PM,11/12/2019 05:30:00 PM,11/13/2019 01:22:41 PM,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,N,N,N3,GREENWOOD,9XX BLOCK OF N 104TH ST,-122.346030287,47.70433103
2019-422876,11810407524,11/13/2019 11:50:00 AM,11/13/2019 11:50:00 AM,11/13/2019 01:19:42 PM,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,W,M,M3,DOWNTOWN COMMERCIAL,15XX BLOCK OF 5TH AVE,-122.336029055,47.61117492
2019-915175,11810389246,11/12/2019 08:00:00 AM,11/12/2019 05:45:00 PM,11/13/2019 01:13:14 PM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,E,C,C2,MILLER PARK,19TH AVE E / E THOMAS ST,-122.307350492,47.62048728
2019-915174,11810388975,11/12/2019 09:20:00 AM,11/12/2019 09:40:00 AM,11/13/2019 01:13:09 PM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,SW,F,F3,SOUTH PARK,5XX BLOCK OF S CLOVERDALE ST,-122.326892907,47.52647722
2019-915172,11810388486,11/12/2019 08:00:00 AM,11/12/2019 05:00:00 PM,11/13/2019 01:12:52 PM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,W,M,M1,DOWNTOWN COMMERCIAL,16XX BLOCK OF 3RD AVE,-122.339120538,47.61120103
